name,year,citationcount,affiliation
Steffen Koch,2021,26,"VIS/VISUS, University of Stuttgart"
Thomas Ertl,2021,26,"VIS/VISUS, University of Stuttgart"
Lingyun Yu,2021,26,"Department of Computer Science and Software Engineering, Xi 'an Jiaotong-Liverpool University."
Peiran Ren,2021,26,Alibaba Group
Yingcai Wu,2021,26,"Zhejiang Lab and State Key Lab of CAD&CG, Zhejiang University"
Philipp Meschenmoser,2021,8,"Univ Konstanz, Constance, Germany"
Juri F. Buchmüller,2021,8,"Univ Konstanz, Constance, Germany"
Daniel Seebacher,2021,8,"Univ Konstanz, Constance, Germany"
Martin Wikelski,2021,8,"Max Planck Inst Anim Behav, Constance, Germany"
Daniel A. Keim,2021,8,"Univ Konstanz, Constance, Germany"
Alaul Islam,2020,12,"CNRS, Inria, LRI, Université Paris-Saclay"
Anastasia Bezerianos,2020,12,"CNRS, Inria, LRI, Université Paris-Saclay"
Bongshin Lee,2020,12,Microsoft Research
Tanja Blascheck,2020,12,University of Stuttgart
Petra Isenberg,2020,12,"CNRS, Inria, LRI, Université Paris-Saclay"
Xiao Xie,2021,15,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Zhejiang, Peoples R China"
Fan Du,2021,15,"Adobe Res, San Jose, CA 95110 USA"
Yingcai Wu,2021,15,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Zhejiang, Peoples R China"
Xiao Xie,2021,34,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou, Peoples R China"
Jiachen Wang,2021,34,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou, Peoples R China"
Hongye Liang,2021,34,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou, Peoples R China"
Dazhen Deng,2021,34,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou, Peoples R China"
Shoubin Cheng,2021,34,"Zhejiang Univ, Dept Sport Sci, Hangzhou, Peoples R China"
Hui Zhang,2021,34,"Zhejiang Univ, Dept Sport Sci, Hangzhou, Peoples R China"
Wei Chen,2021,34,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou, Peoples R China"
Yingcai Wu,2021,34,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou, Peoples R China"
Junxiu Tang,2020,7,"Zhejiang University, Hangzhou, China"
Lingyun Yu,2020,7,"Xi’an Jiaotong-Liverpool University, Suzhou, China"
Tan Tang,2020,7,"Zhejiang University, Hangzhou, China"
Xinhuan Shu,2020,7,"The Hong Kong University of Science and Technology, Hong Kong, China"
Lu Ying,2020,7,"Zhejiang University, Hangzhou, China"
Yuhua Zhou,2020,7,"Zhejiang Sci-Tech University, Hangzhou, China"
Peiran Ren,2020,7,"Alibaba Group, Hangzhou, China"
Yingcai Wu,2020,7,"Zhejiang University, Hangzhou, China"
Johannes Knittel,2021,6,"Univ Stuttgart, Stuttgart, Germany"
Andres Lalama,2021,6,"Univ Stuttgart, Stuttgart, Germany"
Steffen Koch,2021,6,"Univ Stuttgart, Stuttgart, Germany"
Thomas Ertl,2021,6,"Univ Stuttgart, Stuttgart, Germany"
Shuainan Ye,2021,43,"State Key Lab of CAD CG, Zhejiang University"
Zhutian Chen,2021,43,Hong Kong University of Science and Technology
Xiangtong Chu,2021,43,"State Key Lab of CAD CG, Zhejiang University"
Yifan Wang,2021,43,"State Key Lab of CAD CG, Zhejiang University"
Siwei Fu,2021,43,Zhejiang Lab
Lejun Shen,2021,43,Chengdu Sports University
Kun Zhou,2021,43,"State Key Lab of CAD CG, Zhejiang University"
Yingcai Wu,2021,43,"State Key Lab of CAD CG, Zhejiang University"
Zezhong Wang,2021,20,The University of Edinburgh
Jacob Ritchie,2021,20,Stanford University
Jingtao Zhou,2021,20,The University of Edinburgh and Tianjin University
Fanny Chevalier,2021,20,University of Toronto
Benjamin Bach,2021,20,The University of Edinburgh
Florian Friess,2021,9,"Univ Stuttgart, Stuttgart, Germany"
Matthias Braun,2021,9,"Univ Stuttgart, Stuttgart, Germany"
Valentin Bruder,2021,9,"Univ Stuttgart, Stuttgart, Germany"
Steffen Frey,2021,9,"Univ Groningen, Groningen, Netherlands"
Guido Reina,2021,9,"Univ Stuttgart, Stuttgart, Germany"
Thomas Ertl,2021,9,"Univ Stuttgart, Stuttgart, Germany"
Tan Tang,2020,2,"Zhejiang Lab & Zhejiang University, Hangzhou, China"
Junxiu Tang,2020,2,"Zhejiang Lab & Zhejiang University, Hangzhou, China"
Jiewen Lai,2020,2,"University of California, Berkeley, Berkeley, CA, USA"
Lu Ying,2020,2,"Georgia Institute of Technology, Atlanta, GA, USA"
Peiran Ren,2020,2,"Alibaba Group, Hangzhou, China"
Lingyun Yu,2020,2,"Xi'an Jiaotong-Liverpool University, Suzhou, China"
Yingcai Wu,2020,2,"Zhejiang Lab & Zhejiang University, Hangzhou, China"
Younghoon Kim,2021,31,University of Washington
Jeffrey Heer,2021,31,University of Washington
Eren Cakmak,2020,3,"Univ Konstanz, Constance, Germany"
Hanna Schäfer,2020,3,"Univ Konstanz, Constance, Germany"
Juri Buchmüller,2020,3,"Univ Konstanz, Constance, Germany"
Johannes Fuchs,2020,3,"Univ Konstanz, Constance, Germany"
Tobias Schreck,2020,3,"Graz Univ Technol, Graz, Austria"
A. Jordan,2020,3,"Univ Konstanz, Constance, Germany"
Daniel A. Keim,2020,3,"Univ Konstanz, Constance, Germany"
Philipp Eichmann,2020,9,"Brown Univ, Providence, RI 02912 USA"
Darren Edge,2020,9,"Microsoft Res, Cambridge, England"
Nathan Evans,2020,9,"Microsoft Res, Redmond, WA USA"
Bongshin Lee,2020,9,"Microsoft Res, Redmond, WA USA"
Matthew Brehmer,2020,9,"Microsoft Res, Redmond, WA USA"
Christopher M. White,2020,9,"Microsoft Res, Redmond, WA USA"
Liwenhan Xie,2020,1,Peking University [Beijing]
James O'donnell,2020,1,University of Edinburgh
Benjamin Bach,2020,1,University of Edinburgh
Jean-Daniel Fekete,2020,1,Analysis and Visualization
Michael Blumenschein,2020,11,"Univ Konstanz, Constance, Germany"
Xuan Zhang,2020,11,"Rhein Westfal TH Aachen, Aachen, Germany"
David Pomerenke,2020,11,"Univ Konstanz, Constance, Germany"
Daniel A. Keim,2020,11,"Univ Konstanz, Constance, Germany"
Johannes Fuchs,2020,11,"Univ Konstanz, Constance, Germany"
John Thompson,2020,29,"Georgia Inst Technol, Atlanta, GA 30332 USA"
Zhicheng Liu,2020,29,"Adobe Res, Seattle, WA USA"
Wilmot Li,2020,29,"Adobe Res, Seattle, WA USA"
John T. Stasko,2020,29,"Georgia Inst Technol, Atlanta, GA 30332 USA"
Florian Frieß,2020,2,
Christoph Müller,2020,2,
Thomas Ertl,2020,2,
Karsten Schatz,2020,1,
Florian Frieß,2020,1,
Marco Schäfer,2020,1,
Thomas Ertl,2020,1,
Michael Krone,2020,1,
Athanasios Vogogias,2020,4,Napier University
Daniel Archambault,2020,4,(Swansea University)
Benjamin Bach,2020,4,University of Edinburgh.
Jessie Kennedy,2020,4,Napier University
Matthias Kraus,2020,2,University of Konstanz
Hanna Schäfer,2020,2,University of Konstanz
Philipp Meschenmoser,2020,2,University of Konstanz
Daniel Schweitzer,2020,2,University of Konstanz
Daniel A. Keim,2020,2,University of Konstanz
Michael Sedlmair,2020,2,University of Stuttgart
Johannes Fuchs,2020,2,University of Konstanz
Zhuochen Jin,2021,4,"Tongji Univ, iDVx Lab, Shanghai, Peoples R China"
Nan Cao,2021,4,"Tongji Univ, iDVx Lab, Shanghai, Peoples R China"
Yang Shi,2021,4,"Tongji Univ, iDVx Lab, Shanghai, Peoples R China"
Wenchao Wu,2021,4,"Siemens Ltd, Beijing, Peoples R China"
Yingcai Wu,2021,4,"Zhejiang Univ, Hangzhou, Peoples R China"
Dazhen Deng,2021,7,
Jiang Wu,2021,7,
Jiachen Wang,2021,7,
Yihong Wu,2021,7,
Xiao Xie,2021,7,
Zheng Zhou,2021,7,
Hui Zhang,2021,7,
Xiaolong,2021,7,
Zhang,2021,7,
Yingcai Wu,2021,7,
Patrick Gralka,2020,3,"Visualization Research Center, University of Stuttgart"
Ingo Wald,2020,3,NVIDIA Corp.
Sergej Geringer,2020,3,"Visualization Research Center, University of Stuttgart"
Guido Reina,2020,3,"Visualization Research Center, University of Stuttgart"
Thomas Ertl,2020,3,"Institute for Visualization and Interactive Systems, University of Stuttgart"
Young-Ho Kim,2021,10,"College of Information Studies University of Maryland, United States"
Bongshin Lee,2021,10,"Microsoft Research, United States"
Arjun Srinivasan,2021,10,"Tableau Research, United States"
Eun Kyoung Choe,2021,10,"College of Information Studies University of Maryland, United States"
Sarah Schöttler,2021,13,"Univ Edinburgh, Edinburgh, Midlothian, Scotland"
Yalong Yang,2021,13,"Harvard Univ, Cambridge, MA 02138 USA"
Hanspeter Pfister,2021,13,"Harvard Univ, Cambridge, MA 02138 USA"
Benjamin Bach,2021,13,"Univ Edinburgh, Edinburgh, Midlothian, Scotland"
Manaswi Saha,2020,16,"University of Washington, Seattle, WA, USA"
Devanshi Chauhan,2020,16,"University of Washington, Seattle, WA, USA"
Siddhant Patil,2020,16,"University of Washington, Seattle, WA, USA"
Rachel Kangas,2020,16,"University of Washington, Seattle, WA, USA"
Jeffrey Heer,2020,16,"University of Washington, Seattle, WA, USA"
Jon E. Froehlich,2020,16,"University of Washington, Seattle, WA, USA"
Chanwut Kittivorawong,2020,5,University of Washington
Dominik Moritz,2020,5,Apple Inc
Kanit Wongsuphasawat,2020,5,University of Washington
Jeffrey Heer,2020,5,University of Washington
Johannes Knittel,2021,1,"University of Stuttgart, Stuttgart, Germany"
Steffen Koch,2021,1,"University of Stuttgart, Stuttgart, Germany"
Franziska Becker,2020,2,University of Stuttgart
Arthur Drichel,2020,2,RWTH Aachen University
Christoph Müller,2020,2,University of Stuttgart
Jiang Wu,2020,9,"The State Key Lab of CAD&CG, Zhejiang University"
Ziyang Guo,2020,9,"The State Key Lab of CAD&CG, Zhejiang University"
Zuobin Wang,2020,9,"The State Key Lab of CAD&CG, Zhejiang University"
Qingyang Xu,2020,9,"The State Key Lab of CAD&CG, Zhejiang University"
Yingcai Wu,2020,9,"The State Key Lab of CAD&CG, Zhejiang University"
Sadia Rubab,2021,4,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Peoples R China"
Junxiu Tang,2021,4,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Peoples R China"
Yingcai Wu,2021,4,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Peoples R China"
Franziska Huth,2021,0,"Univ Stuttgart, Stuttgart, Germany"
Tanja Blascheck,2021,0,"Univ Stuttgart, Stuttgart, Germany"
Steffen Koch,2021,0,"Univ Stuttgart, Stuttgart, Germany"
Sonja Utz,2021,0,"Leibniz Inst Wissensmedien Tubingen, Tubingen, Germany"
Thomas Ertl,2021,0,"Univ Stuttgart, Stuttgart, Germany"
Tong Ge,2021,8,"Shandong University, China"
Bongshin Lee,2021,8,"Microsoft Research, United States"
Yunhai Wang,2021,8,"Shandong University, China"
Tobias Kauer,2021,6,"School of Informatics University of Edinburgh, United Kingdom"
Arran Ridley,2021,6,"UCLAB University of Applied Sciences Potsdam, Germany"
Marian Dörk,2021,6,"UCLAB Potsdam University of Applied Science, Germany"
Benjamin Bach,2021,6,"School of Informatics Edinburgh University, United Kingdom"
Barrett Ens,2021,66,"Faculty of Information Technology, Monash University, Melbourne, Australia"
Benjamin Bach,2021,66,"University of Edinburgh, United Kingdom"
Maxime Cordeil,2021,66,"Faculty of Information Technology, Monash University, Melbourne, Australia"
Ulrich Engelke,2021,66,"CSIRO Data61, Perth, Australia"
Marcos Serrano,2021,66,"IRIT - University of Toulouse, Toulouse, France"
Wesley Willett,2021,66,"University of Calgary, Canada"
Arnaud Prouzeau,2021,66,"Inria, Bordeaux, France and Faculty of Information Technology, Monash University, Melbourne, Australia"
Christoph Anthes,2021,66,"HIVE, University of Applied Sciences Upper Austria, Hagenberg, Austria"
Wolfgang Büschel,2021,66,"Interactive Media Lab Dresden, Technische Universität Dresden, Germany"
Cody Dunne,2021,66,"Northeastern University Khoury College of Computer Sciences, United States"
Tim Dwyer,2021,66,"Faculty of Information Technology, Monash University, Melbourne, Australia"
Jens Grubert,2021,66,"Coburg University of Applied Sciences and Arts, Germany"
Jason H. Haga,2021,66,"Digital Architecture Research Center, Japan"
Nurit Kirschenbaum,2021,66,"LAVA, University of Hawaii at Manoa, Honolulu, United States"
Dylan Kobayashi,2021,66,"LAVA, University of Hawaii at Manoa, Honolulu, United States"
Tica Lin,2021,66,"Harvard University, Cambridge, MA, United States"
Monsurat Olaosebikan,2021,66,"Tufts University, Medford, MA, United States"
Fabian Pointecker,2021,66,"HIVE, University of Applied Sciences Upper Austria, Hagenberg, Austria"
David Saffo,2021,66,"Northeastern University Khoury College of Computer Sciences, United States"
Nazmus Saquib,2021,66,"MIT Media Lab, Cambridge, MA, United States"
Dieter Schmalsteig,2021,66,"Graz University of Technology, Austria"
Danielle Albers Szafir,2021,66,"ATLAS Institute, University of Colorado Boulder, Boulder, CO, USA"
Matthew Whitlock,2021,66,"ATLAS Institute, University of Colorado Boulder, Boulder, CO, USA"
Yalong Yang,2021,66,"Harvard University, Cambridge, MA, United States"
Dirk Streeb,2021,5,"[Universität Konstanz, Konstanz, Germany]"
Mennatallah El-Assady,2021,5,"[Universität Konstanz, Konstanz, Germany]"
Daniel A. Keim,2021,5,"[Universität Konstanz, Konstanz, Germany]"
Min Chen,2021,5,"[University of Oxford, Oxford, U.K.]"
Andre Stork,2021,5,
Rahul C. Basole,2021,5,
Steffen Frey,2022,0,
Stefan Scheller,2022,0,
Nikolaos Karadimitriou,2022,0,
Guido Reina,2022,0,
Holger Steeb,2022,0,
Thomas Ertl,2022,0,
Eunice Jun,2022,7,"University of Washington, Seattle, WA"
Melissa Birchfield,2022,7,"University of Washington, Seattle, WA"
Nicole de Moura,2022,7,"Eastlake High School, Seattle, WA"
Jeffrey Heer,2022,7,"University of Washington, Seattle, WA"
Rene Just,2022,7,"University of Washington, Seattle, WA"
Zikun Deng,2022,12,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Di Weng,2022,12,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Yuxuan Liang,2022,12,"School of Computing, National University of Singapore, Singapore"
Jie Bao,2022,12,"JD Intelligent Cities Research, JD Technology, Beijing, China"
Yu Zheng,2022,12,"JD Intelligent Cities Research, JD Technology, Beijing, China"
Tobias Schreck,2022,12,"Graz University of Technology, Graz, Austria"
Mingliang Xu,2022,12,"School of Information Engineering and Henan Institute of Advanced Technology, Zhengzhou University, Zhengzhou, China"
Yingcai Wu,2022,12,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Thilo Spinner,2021,0,University of Konstanz
Udo Schlegel,2021,0,University of Konstanz
Martin Schall,2021,0,
Fabian Sperrle,2021,0,University of Konstanz
Rita Sevastjanova,2021,0,University of Konstanz
Beatrice Gobbo,2021,0,
Julius Rauscher,2021,0,
Mennatallah El-Assady,2021,0,University of Konstanz
Daniel A. Keim,2021,0,University of Konstanz
Arpit Narechania,2021,8,"Georgia Institute of Technology, United States"
Adam Fourney,2021,8,"Microsoft Research AI Microsoft Research, United States"
Gonzalo A. Ramos,2021,8,"Microsoft Research, United States"
Jiachen Wang,2021,29,"State Key Lab of CAD&CG, Zhejiang University, China"
Jiang Wu,2021,29,"State Key Lab of CAD&CG, Zhejiang University, China"
Anqi Cao,2021,29,"State Key Lab of CAD&CG, Zhejiang University, China"
Zheng Zhou,2021,29,"Zhejiang University, China"
Hui Zhang,2021,29,"Zhejiang University, China"
Yingcai Wu,2021,29,"State Key Lab of CAD&CG, Zhejiang University, China"
Ran Chen,2022,8,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Xinhuan Shu,2022,8,"Hong Kong University of Science and Technology, Hong Kong"
Jiahui Chen,2022,8,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Di Weng,2022,8,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Junxiu Tang,2022,8,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Siwei Fu,2022,8,"Zhejiang Lab, Hangzhou, China"
Yingcai Wu,2022,8,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Kim Marriott,2021,9,Monash University
Bongshin Lee,2021,9,Microsoft Research
Matthew Butler,2021,9,Monash University
Ed Cutrell,2021,9,Microsoft Research
Kirsten Ellis,2021,9,Monash University
Cagatay Goncu,2021,9,Monash University
Marti Hearst,2021,9,UC Berkeley
Kathleen McCoy,2021,9,University of Delaware
Danielle Albers Szafir,2021,9,University of Colorado Boulder
Kun-Ting Chen,2021,1,"Data Visualisation and Immersive Analytics Faculty of Information Technology, Monash University, Australia"
Tim Dwyer,2021,1,"Data Visualisation and Immersive Analytics Monash University, Australia"
Benjamin Bach,2021,1,"School of Informatics Edinburgh University, United Kingdom"
Kim Marriott,2021,1,"Human-Centred Computing, Faculty of IT Monash University, Australia"
Rebecca Zheng,2021,3,"Mumbli, United Kingdom"
Marina Fernández Camporro,2021,3,"University College London, United Kingdom"
Hugo Romat,2021,3,"ETH, Switzerland"
Nathalie Henry Riche,2021,3,"Microsoft Research, United States"
Benjamin Bach,2021,3,"School of Informatics Edinburgh University, United Kingdom"
Fanny Chevalier,2021,3,"Department of Computer Science and Statistical Sciences University of Toronto, Canada"
Ken Hinckley,2021,3,"Microsoft Research, United States"
Nicolai Marquardt,2021,3,"Microsoft Research, United States"
Xiaoying Pu,2021,5,"Computer Science and Engineering University of Michigan, United States"
Matthew Kay,2021,5,"Computer Science and Communication Northwestern University, United States"
Steven Mark Drucker,2021,5,"Microsoft Research, United States"
Jeffrey Heer,2021,5,"Paul G. Allen School of Computer Science & Engineering University of Washington, United States"
Dominik Moritz,2021,5,"Human-Computer Interaction Institute Carnegie Mellon University, United States"
Arvind Satyanarayan,2021,5,"CSAIL MIT, United States"
Maximilian T. Fischer,2021,8,"University of Konstanz, Germany"
Alexander Frings,2021,8,"University of Konstanz, Germany"
Daniel A. Keim,2021,8,"University of Konstanz, Germany"
Daniel Seebacher,2021,8,"University of Konstanz, Germany"
Johannes Knittel,2021,0,"University of Stuttgart, Stuttgart, Germany"
Steffen Koch,2021,0,"University of Stuttgart, Stuttgart, Germany"
Thomas Ertl,2021,0,"University of Stuttgart, Stuttgart, Germany"
Gleb Tkachev,2022,7,"University of Stuttgart, Stuttgart, Germany"
Steffen Frey,2022,7,"University of Groningen, Groningen, CP, Netherlands"
Thomas Ertl,2022,7,"University of Stuttgart, Stuttgart, Germany"
Stefan Alscher,2016,0,
Michael Bender,2016,0,
Markus John,2016,0,
Andreas Müller,2016,0,
Sandra Richter,2016,0,
Andrea Rapp,2016,0,
Thomas Ertl,2016,0,
Steffen Koch,2016,0,
Jonas Kuhn,2016,0,
Daniel A. Keim,2016,0,
Artemis Alexiadou,2016,0,
Manuel Braun,2016,0,
Sabine Holtz,2016,0,
Cathleen Kantner,2016,0,
Catrin Misselhorn,2016,0,
Sebastian Padó,2016,0,
Achim Stein,2016,0,
Claus Zittel,2016,0,
Andreas Müller,2015,0,
Markus John,2015,0,
Steffen Koch,2015,0,
Jonas Kuhn,2015,0,
Tina Bögel,2014,0,
Valentin Gold,2014,0,
Annette Hautli-Janisz,2014,0,
Christian Rohrdantz,2014,0,
Sebastian Sulger,2014,0,
Miriam Butt,2014,0,
Katharina Holzinger,2014,0,
Daniel A. Keim,2014,0,
Johannes Knittel,2022,6,"University of Stuttgart, Germany"
Steffen Koch,2022,6,"University of Stuttgart, Germany"
Tan Tang,2022,6,"State Key Lab of CAD&CG, Zhejiang University, China"
Wei Chen,2022,6,"State Key Lab of CAD&CG, Zhejiang University, China"
Yingcai Wu,2022,6,"State Key Lab of CAD&CG, Zhejiang University, China"
Shixia Liu,2022,6,"Tsinghua University, China"
Thomas Ertl,2022,6,"University of Stuttgart, Germany"
Frederik L. Dennig,2021,0,"University of Konstanz, Germany"
Eren Cakmak,2021,0,"University of Konstanz, Germany"
Henrik Plate,2021,0,"SAP Security Research, France"
Daniel A. Keim,2021,0,"University of Konstanz, Germany"
Cindy Xiong,2022,10,"UMass Amherst, United States"
Vidya Setlur,2022,10,"Tableau Research, United States"
Benjamin Bach,2022,10,"University of Edinburgh, United Kingdom"
Kylie Lin,2022,10,"Adobe Research, United States"
Eunyee Koh,2022,10,"Northwestern University, United States"
Steven Franconeri,2022,10,"Northwestern University, United States"
Maximilian T. Fischer,2021,2,"Univ Konstanz, Constance, Germany"
Daniel Seebacher,2021,2,"Univ Konstanz, Constance, Germany"
Rita Sevastjanova,2021,2,"Univ Konstanz, Constance, Germany"
Daniel A. Keim,2021,2,"Univ Konstanz, Constance, Germany"
Mennatallah El-Assady,2021,2,"Univ Konstanz, Constance, Germany"
Jiachen Wang,2021,4,"Zhejiang University, Hangzhou, China"
Dazhen Deng,2021,4,"Zhejiang University, Hangzhou, China"
Xiao Xie,2021,4,"Zhejiang University, Hangzhou, China"
Xinhuan Shu,2021,4,"The Hong Kong University of Science and Technology, Hong Kong, China"
Yu-Xuan Huang,2021,4,"Nanjing University, Nanjing, China"
Le-Wen Cai,2021,4,"Nanjing University, Nanjing, China"
Hui Zhang,2021,4,"Zhejiang University, Hangzhou, China"
Min-Ling Zhang,2021,4,"Southeast University, Nanjing, China"
Zhi-Hua Zhou,2021,4,"Nanjing University, Nanjing, China"
Yingcai Wu,2021,4,"Zhejiang University, Hangzhou, China"
Moritz Heinemann,2021,2,"Univ Stuttgart, VISUS, Allmandring 19, D-70569 Stuttgart, Germany"
Steffen Frey,2021,2,"Univ Groningen, Bernoulli Inst, Nijenborgh 9 Bernoulliborg, NL-9747 AG Groningen, Netherlands"
Gleb Tkachev,2021,2,"Univ Stuttgart, VISUS, Allmandring 19, D-70569 Stuttgart, Germany"
Alexander Straub,2021,2,"Univ Stuttgart, VISUS, Allmandring 19, D-70569 Stuttgart, Germany"
Filip Sadlo,2021,2,"Heidelberg Univ, IWR, Neuenheimer Feld 205, D-69120 Heidelberg, Germany"
Thomas Ertl,2021,2,"Univ Stuttgart, VISUS, Allmandring 19, D-70569 Stuttgart, Germany"
Bruno Schneider,2021,19,"University of Konstanz, Konstanz, Germany"
Dominik Jäckle,2021,19,"University of Konstanz, Konstanz, Germany"
Florian Stoffel,2021,19,"University of Konstanz, Konstanz, Germany"
Alexandra Diehl,2021,19,"University of Konstanz, Konstanz, Germany"
Johannes Fuchs,2021,19,"University of Konstanz, Konstanz, Germany"
Daniel A. Keim,2021,19,"University of Konstanz, Konstanz, Germany"
Daniel Seebacher,2021,12,"University of Konstanz, Konstanz, Germany"
Johannes Häußler,2021,12,"University of Konstanz, Konstanz, Germany"
Michael Hundt,2021,12,"University of Konstanz, Konstanz, Germany"
Manuel Stein,2021,12,"University of Konstanz, Konstanz, Germany"
Hannes Müller,2021,12,"State Office for the Environment, Measurements and Nature Conservation of the Federal State of Baden-Württemberg (LUBW), Karlsruhe, Germany"
Ulrich Engelke,2021,12,"Data61, Commonwealth Scientific and Industrial Research Organisation, Canberra, ACT, Australia"
Daniel A. Keim,2021,12,"University of Konstanz, Konstanz, Germany"
Yuhan Luo,2021,11,"Univ Maryland, College Pk, MD 20742 USA"
Young-Ho Kim,2021,11,"Univ Maryland, College Pk, MD 20742 USA"
Bongshin Lee,2021,11,"Microsoft Res, Redmond, WA USA"
Naeemul Hassan,2021,11,"Univ Maryland, College Pk, MD 20742 USA"
Eun Kyoung Choe,2021,11,"Univ Maryland, College Pk, MD 20742 USA"
Bongshin Lee,2021,0,
Arjun Srinivasan,2021,0,
Petra Isenberg,2021,0,
John T. Stasko,2021,0,
Matthias Kraus,2021,17,"University of Konstanz, Konstanz, Germany"
Karsten Klein,2021,17,"University of Konstanz, Konstanz, Germany"
Johannes Fuchs,2021,17,"University of Konstanz, Konstanz, Germany"
Daniel A. Keim,2021,17,"University of Konstanz, Konstanz, Germany"
Falk Schreiber,2021,17,"University of Konstanz, Konstanz, Germany"
Michael Sedlmair,2021,17,"University of Stuttgart, Stuttgart, Germany"
Saiful Khan,2022,6,"University of Oxford, UK"
Phong H. Nguyen,2022,6,"Redsift Ltd., UK"
Alfie Abdul-Rahman,2022,6,"King's College London, UK"
Benjamin Bach,2022,6,"Edinburgh University, UK"
Min Chen,2022,6,"University of Oxford, UK"
Euan Freeman,2022,6,"University of Glasgow, Scotland"
Cagatay Turkay,2022,6,"University of Warwick, UK"
Fabian Sperrle,2021,3,"Univ Konstanz, Constance, Germany"
Hanna Schäfer,2021,3,"Univ Konstanz, Constance, Germany"
Daniel A. Keim,2021,3,"Univ Konstanz, Constance, Germany"
Mennatallah El-Assady,2021,3,"Univ Konstanz, Constance, Germany"
Frederik L. Dennig,2021,1,"Univ Konstanz, Constance, Germany"
Maximilian T. Fischer,2021,1,"Univ Konstanz, Constance, Germany"
Michael Blumenschein,2021,1,"Univ Konstanz, Constance, Germany"
Johannes Fuchs,2021,1,"Univ Konstanz, Constance, Germany"
Daniel A. Keim,2021,1,"Univ Konstanz, Constance, Germany"
Evanthia Dimara,2021,1,"Univ Konstanz, Constance, Germany"
Fabian Sperrle,2021,15,"Univ Konstanz, Constance, Germany"
Mennatallah El-Assady,2021,15,"Univ Konstanz, Constance, Germany"
Grace Guo,2021,15,"Georgia Inst Technol, Atlanta, GA 30332 USA"
R. Borgo,2021,15,"Kings Coll London, London, England"
Duen Horng Chau,2021,15,"Georgia Inst Technol, Atlanta, GA 30332 USA"
Alex Endert,2021,15,"Georgia Inst Technol, Atlanta, GA 30332 USA"
Daniel A. Keim,2021,15,"Univ Konstanz, Constance, Germany"
Tan Tang,2022,6,"State Key Lab of CAD&CG, Zhejiang University and Zhejiang Lab, China"
Yanhong Wu,2022,6,"State Key Lab of CAD&CG, Zhejiang University and Zhejiang Lab, China"
Lingyun Yu,2022,6,"State Key Lab of CAD&CG, Zhejiang University and Zhejiang Lab, China"
Yuhong Li,2022,6,"Xi'an Jiaotong-Liverpool University, China"
Yingcai Wu,2022,6,"Alibaba Group, China"
Yingcai Wu,2021,1,"Zhejiang University, Hangzhou, China"
Siwei Fu,2021,1,"Zhejiang Lab, Zhejiang, China"
Jian Zhao,2021,1,"University of Waterloo, Waterloo, ON, Canada"
Chris Bryan,2021,1,"Arizona State University, Tempe, AZ, USA"
Udo Schlegel,2021,7,"Univ Konstanz, Constance, Germany"
Duy Vo Lam,2021,7,"Univ Konstanz, Constance, Germany"
Daniel A. Keim,2021,7,"Univ Konstanz, Constance, Germany"
Daniel Seebacher,2021,7,"Univ Konstanz, Constance, Germany"
Kun-Ting Chen,2022,3,"Monash University, Australia"
Tim Dwyer,2022,3,"Monash University, Australia"
Benjamin Bach,2022,3,"University of Edinburgh, United Kingdom"
Kim Marriott,2022,3,"Monash University, Australia"
Zezhong Wang,2022,9,"University of Edinburgh, Scotland"
Hugo Romat,2022,9,"ETH Zurich, Switzerland"
Fanny Chevalier,2022,9,"University of Toronto, Canada"
Nathalie Henry Riche,2022,9,"Microsoft Research, United States"
Dave Murray-Rust,2022,9,"TU Delft, Netherlands"
Benjamin Bach,2022,9,"University of Edinburgh, Scotland"
Jiang Wu,2022,12,"State Key Lab of CAD&CG, Zhejiang University, China"
Dongyu Liu,2022,12,"Massachusetts Institute of Technology, United States"
Ziyang Guo,2022,12,"State Key Lab of CAD&CG, Zhejiang University, China"
Qingyang Xu,2022,12,"State Key Lab of CAD&CG, Zhejiang University, China"
Yingcai Wu,2022,12,"State Key Lab of CAD&CG, Zhejiang University, China"
Zikun Deng,2022,13,"Zhejiang Univ, State Key Lab CAD & CG, Hangzhou & Zhejiang Lab, Hangzhou, Peoples R China"
